Date & Time,Content,User,Location
2022-05-07 15:37:17,"b""@Moonsie_NFT @FlipprTool @J777Crypto @darwin_nft Don't miss this project! ! ! @nime_sak @kraigself519 @OpliRdew @jeskemarcos987 @dk_dkbk .""",b'AhamadJim',b''
2022-05-07 15:37:17,b'@TheArtistEvie Thank you so much \xf0\x9f\x8d\x80',b'ahmetaslan_nft',"b'Hatay, T\xc3\xbcrkiye'"
2022-05-07 15:37:17,b'Coinbase\xe2\x80\x99s NFT marketplace logs fewer than 150 trades on launch day https://t.co/qZIJTWnNhV https://t.co/UpLbkeSXMg',b'kriztechnews',b''
2022-05-07 15:37:16,b'@SoulZ_NFT @GiveawaysSoulz @JukiverseNFT love you @BartlettMandel @ulysses_primo @MarshFlower8',b'RivaWinifred1',b''
2022-05-07 15:37:16,b'@SolChiefNFT @ChiruCatz @findersol_NFT @segonogo   @Hidayah00471785\n\nI wish i win',b'wawankentuzz',b'Indonesia'
2022-05-07 15:37:16,b'@YouByBFF Get your Free BFF PFP - read Bio @returnofzmac @101st_Ranger_ @sienna_her @NftNashville @soxxfetch\xe2\x80\xa6 https://t.co/r7CTCkTWWX',b'SandyTh95358612',b''
2022-05-07 15:37:16,b'@sol_giveaways @BlockBet_ @yili @ChubbyJiras @darwin_nft \n\nlucky',b'Happydayoff4',b'Guangdong'
2022-05-07 15:37:16,b'@RealFlokiInu To mint @PandaGirlToken click on https://t.co/rNOvZFjLN5 and follow the procedures. You can use your\xe2\x80\xa6 https://t.co/uhElwFC6kT',b'SFOLORUNSO',"b'Lagos, Nigeria'"
2022-05-07 15:37:16,"b""@RampageReXNFT @Acceptable890 we've been in this for quite a while now and I wanna help him with some nft projects this one seems amazing!""",b'InstantToastETH',b''
2022-05-07 15:37:15,"b'From what I see Bo Kucoin is doing all the work, all the exchanges make me feel better. The NFT project is going ve\xe2\x80\xa6 https://t.co/xr6qti3Njs'",b'Crypto2954',b''
2022-05-07 15:37:15,"b'\xf0\x9f\x8e\xa8 @brellias \n\n\xe2\x80\x9cESCARABAJO\xe2\x80\x9d\n\nESCARABAJO - An iconic car from the artists childhood, materialized within this dream w\xe2\x80\xa6 https://t.co/6fmRLQQPCI'",b'NFT__CLUB',b''
2022-05-07 15:37:14,b'@ElonPunkNft @pungogh \xf0\x9f\x8f\x86 WL Winners\n\n@Exia63096140 @KobiKadosh @Megabreeze_nft @ryptopsy @viiguto @CoDe13960262\xe2\x80\xa6 https://t.co/I5Q3Vgb7Fa',b'CherryPaula1',b''
2022-05-07 15:37:14,"b""@CalcioNFT Cheers bro that's from @SIPHERxyz \nA top nft gaming project ,check em out \xf0\x9f\x99\x82""",b'kroky83',"b'Cork, Ireland'"
2022-05-07 15:37:14,b'@haroldNFT @notbunjil thank you \xe2\x9d\xa4\xef\xb8\x8f',b'nft_magee',b''
2022-05-07 15:37:13,b'@WeirdOne_NFT Elon Mask https://t.co/MITuDo9Egc',b'SherryNFT',b''
2022-05-07 15:37:12,"b'Mint is live for The 9YO Army of #pewdiepie \xf0\x9f\x9a\x80\n\xe2\x9c\x85Mint at: 1.7 $MATIC (1.8$)\nHurry up, mint yours before the sale clos\xe2\x80\xa6 https://t.co/Js166gvjx1'",b'IamFayeAmanda',b'London'
2022-05-07 15:37:11,"b""@TheworksNFT I'm an experienced nft artist and i would love to do work for you let's DM!""",b'emori_11',b''
2022-05-07 15:37:11,b'\xf0\x9f\x90\xb3\xf0\x9f\x90\xb3\xf0\x9f\x90\xb3 NFT Whale Trade\n\n\xe2\x9e\xa1\xef\xb8\x8fTransfer: [\xf0\x9f\x90\xb3bluest-chips.eth] -&gt; [masifatak.eth]\n\xe2\x9c\xa8NFT: Poet #1515 https://t.co/rksKawD6wF\n\xf0\x9f\x92\xb0P\xe2\x80\xa6 https://t.co/5Y6iy4ioit',b'nftgobot',b'MetaVerse'
2022-05-07 15:37:11,b'@mosh_nft @TalesFTWild Good luck',b'NewBigwin1415',b''
2022-05-07 15:37:11,"b""@YouByBFF 'You by BFF' Giveaway winners - read Bio to claim: @ClarkCrypto_ @KIMYUEN108 @Tara_Windwalker\xe2\x80\xa6 https://t.co/cK3KtmrI40""",b'Cynthia59004072',b''
2022-05-07 15:37:11,b'@buster_algo @d0nger420 @newsorsomething infographic.gif!',b'fauan_NFT',b'Algorand'
2022-05-07 15:37:11,b'@jf_nft @smurfeta_arty Grab One More!!!!\nhttps://t.co/DTrif4bYhN',b'the_NFT_network',"b'New Jersey, USA'"
2022-05-07 15:37:11,b'@crazycryptocake @WSecretClub_nft Amazing \xf0\x9f\xa5\xb0\n@yud\n@adut\n@PutraWijayanto7',b'ramlandzoxy234',b''
2022-05-07 15:37:11,b'@itsamandalyu @gangsterallstar 110% agree with this https://t.co/t7rlcm9qg3',b'spinny_nft',b'g l a m'
2022-05-07 15:37:11,b'@shawnmayj @Crusaders_NFT Done \xf0\x9f\x94\xa5\xf0\x9f\xa6\xbe\xf0\x9f\x9a\x80\n@msakirin97\n@adinhc1\n@alfianfebs\n@23Arifinmohamad\n@YuaMaru28',b'FairUseless',"b'Jawa Timur, Indonesia'"
2022-05-07 15:37:10,b'NFT: Wandering Hands #95\nCollection: Wandering Hands\n\nBuy the NFT here: https://t.co/2yaxccN42e\n\n#nft #nftdrop\xe2\x80\xa6 https://t.co/2TXmBjyUnt',b'cyberthetic1',b''
2022-05-07 15:37:10,b'@nft_joy36 Morning \xf0\x9f\x99\x88',b'deva_mariva',b''
2022-05-07 15:37:09,b'\xf0\x9f\x9a\xa8 #XRPL #NFT sold for 321 #XRP. https://t.co/ECYtUts8Dr',b'xSTIKbot',b''
2022-05-07 15:37:09,b'@Crypto_SENA @KlayCity Good Luck!!!!\n@jangsunwoo30 @icoxki @LiamYiela @metaklaynft @wltn5751 @LandyD13 @nft_ariana\xe2\x80\xa6 https://t.co/MMAKcEP0CX',b'jsdclub',b''
2022-05-07 15:37:09,b'@lasirenanft You must check @MintHuntersNFT. Made for real degen NFT minters. Holders will receive free whitelist s\xe2\x80\xa6 https://t.co/KfDgxGbhWZ',b'AnnaMortimer10',b''
2022-05-07 15:37:08,b'@NikitaM26733267 @localweather @babi_nft @jeckilis That\xe2\x80\x99s awesome !',b'Doc_Crypto_82',b''
2022-05-07 15:37:08,b'Check out this item on OpenSea https://t.co/qe3wUnFTou #NFTGiveaways #nft #NFTCommmunity #NFTS #texos',b'PunksProject',b''
